Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),WHO region
Afghanistan,145996,6615,82586,56795,444,38,0,56.57,4.53,EMRO
Albania,132999,2457,130187,355,47,0,13,97.89,1.85,EURO
Algeria,168668,4189,113707,50772,1537,28,807,67.41,2.48,AFRO
Andorra,14655,127,14180,348,69,0,67,96.76,0.87,EURO
Angola,42486,1003,36025,5458,198,3,61,84.79,2.36,AFRO
Antigua and Barbuda,1295,43,1235,17,7,0,6,95.37,3.32,PAHO
Argentina,4905925,105113,4542904,257908,14115,291,13645,92.6,2.14,PAHO
Armenia,229603,4604,219502,5497,233,7,123,95.6,2.01,EURO
Australia,33909,923,24036,8950,183,0,14,70.88,2.72,WPRO
Austria,658004,10737,642229,5038,503,0,349,97.6,1.63,EURO
Azerbaijan,342548,5019,332574,4955,615,5,181,97.09,1.47,EURO
Bahamas,14545,286,12549,1710,88,0,48,86.28,1.97,PAHO
Bahrain,268974,1384,266635,955,128,1,64,99.13,0.51,EMRO
Bangladesh,1226253,20255,1050220,155778,15271,239,14336,85.64,1.65,SEARO
Barbados,4365,48,4167,150,1,0,9,95.46,1.1,PAHO
Belarus,443864,3434,438050,2380,1033,10,1147,98.69,0.77,EURO
Belgium,1122951,25235,0,1097716,1862,4,0,0.0,2.25,EURO
Belize,14114,337,13349,428,45,0,38,94.58,2.39,PAHO
Benin,8394,108,8136,150,0,0,0,96.93,1.29,AFRO
Bhutan,2506,2,2353,151,5,0,22,93.89,0.08,SEARO
Bolivia,471958,17784,405853,48321,1029,30,1344,85.99,3.77,PAHO
Bosnia and Herzegovina,205610,9686,189348,6576,44,0,89,92.09,4.71,EURO
Botswana,106690,1569,95323,9798,4566,84,7806,89.35,1.47,AFRO
Brazil,19839369,554497,17771228,1513644,42283,1318,28696,89.58,2.79,PAHO
Brunei,333,3,270,60,0,0,0,81.08,0.9,WPRO
Bulgaria,424526,18208,398436,7882,231,3,48,93.85,4.29,EURO
Burkina Faso,13566,169,13363,34,6,0,2,98.5,1.25,AFRO
Burma,289333,8552,202235,78546,5234,342,4241,69.9,2.96,SEARO
Burundi,6865,9,773,6083,150,0,0,11.26,0.13,AFRO
Cabo Verde,33721,298,32935,488,39,0,56,97.67,0.88,AFRO
Cambodia,75917,1350,68386,6181,765,11,694,90.08,1.78,WPRO
Cameroon,82064,1334,35261,45469,0,0,0,42.97,1.63,AFRO
Canada,1437111,26544,0,1410567,912,14,0,0.0,1.85,PAHO
Central African Republic,7151,98,6859,194,3,0,0,95.92,1.37,AFRO
Chad,4972,174,4789,9,0,0,0,96.32,3.5,AFRO
Chile,1613288,35295,1568294,9699,1371,119,1058,97.21,2.19,PAHO
China,104918,4848,96467,3603,68,0,21,91.95,4.62,WPRO
Colombia,4766829,120126,4557829,88874,9690,325,12483,95.62,2.52,PAHO
Comoros,4025,147,3864,14,1,0,0,96.0,3.65,AFRO
Costa Rica,405206,5013,327249,72944,1695,16,600,80.76,1.24,PAHO
Cote d'Ivoire,49911,326,49117,468,136,0,77,98.41,0.65,AFRO
Croatia,363227,8250,353901,1076,188,1,153,97.43,2.27,EURO
Cuba,366985,2628,320242,44115,8607,68,8073,87.26,0.72,PAHO
Cyprus,100784,416,39061,61307,655,4,0,38.76,0.41,EURO
Czechia,1673219,30363,1639849,3007,202,1,151,98.01,1.81,EURO
Democratic Republic of the Congo,49251,1023,29497,18731,281,0,0,59.89,2.08,AFRO
Denmark,315963,2549,302261,11153,848,1,1189,95.66,0.81,EURO
Djibouti,11649,155,11483,11,2,0,3,98.57,1.33,EMRO
Dominica,210,0,200,10,0,0,0,95.24,0.0,PAHO
Dominican Republic,341179,3956,317127,20096,365,3,4923,92.95,1.16,PAHO
Ecuador,485673,31549,443880,10244,4953,752,0,91.39,6.5,PAHO
Egypt,284170,16514,229167,38489,42,7,331,80.64,5.81,EMRO
El Salvador,86059,2599,76056,7404,0,12,0,88.38,3.02,PAHO
Equatorial Guinea,8880,123,8637,120,0,0,0,97.26,1.39,AFRO
Eritrea,6544,34,6416,94,5,0,38,98.04,0.52,AFRO
Estonia,133111,1272,128698,3141,220,1,85,96.68,0.96,EURO
Eswatini,24848,772,20476,3600,601,2,114,82.41,3.11,AFRO
Ethiopia,279629,4381,263392,11856,476,5,326,94.19,1.57,AFRO
Fiji,27497,227,6951,20319,1301,9,245,25.28,0.83,WPRO
Finland,105260,982,46000,58278,765,0,0,43.7,0.93,EURO
France,6142282,111951,412373,5617958,25429,28,576,6.71,1.82,EURO
Gabon,25370,163,25143,64,0,0,0,99.11,0.64,AFRO
Gambia,7709,212,6600,897,0,0,0,85.61,2.75,AFRO
Georgia,413626,5768,379685,28173,2796,17,2088,91.79,1.39,EURO
Germany,3772326,91622,3649670,31034,0,-87,-4320,96.75,2.43,EURO
Ghana,103019,823,97213,4983,0,0,0,94.36,0.8,AFRO
Greece,487709,12911,93764,381034,2694,9,0,19.23,2.65,EURO
Greenland,117,0,78,39,9,0,7,66.67,0.0,EURO
Grenada,164,1,161,2,0,0,0,98.17,0.61,PAHO
Guatemala,362134,10248,316931,34955,3336,24,2492,87.52,2.83,PAHO
Guinea,25401,211,24071,1119,108,3,47,94.76,0.83,AFRO
Guinea-Bissau,4387,74,3872,441,53,0,18,88.26,1.69,AFRO
Guyana,22372,535,20974,863,138,5,201,93.75,2.39,PAHO
Haiti,20077,545,12961,6571,77,8,0,64.56,2.71,PAHO
Holy See,27,0,27,0,0,0,0,100.0,0.0,EURO
Honduras,294561,7793,99879,186889,1592,35,807,33.91,2.65,PAHO
Hungary,809427,30025,747512,31890,65,0,531,92.35,3.71,EURO
Iceland,7676,30,6680,966,131,0,12,87.02,0.39,EURO
India,31572344,423217,30743972,405155,44230,555,42360,-38.66,1.34,SEARO
Indonesia,3331206,90552,2686170,554484,43479,1893,45494,80.64,2.72,SEARO
Iran,3826447,90074,3329065,407308,34433,292,18902,87.0,2.35,EMRO
Iraq,1603787,18533,1447160,138094,13259,49,9401,90.23,1.16,EMRO
Ireland,298048,5035,23364,269649,1361,0,0,7.84,1.69,EURO
Israel,869063,6466,846964,15633,1823,4,1159,97.46,0.74,EURO
Italy,4336906,128029,4130393,78484,6167,19,1825,95.24,2.95,EURO
Jamaica,52504,1182,46938,4384,182,0,27,89.4,2.25,PAHO
Japan,904126,15188,827216,61722,10684,14,3471,91.49,1.68,WPRO
Jordan,769390,10010,749676,9704,1008,10,651,97.44,1.3,EMRO
Kazakhstan,625165,5780,522304,97081,7778,161,5060,83.55,0.92,EURO
Kenya,201009,3910,188222,8877,1068,15,398,93.64,1.95,AFRO
Kiribati,2,0,0,2,0,0,0,0.0,0.0,WPRO
Kosovo,108203,2269,105633,301,72,0,17,97.62,2.1,EURO
Kuwait,396332,2309,381575,12448,853,6,1400,96.28,0.58,EMRO
Kyrgyzstan,161015,2301,141499,17215,930,13,1460,87.88,1.43,EURO
Laos,5675,6,2691,2978,241,0,188,47.42,0.11,WPRO
Latvia,138717,2554,135463,700,67,0,0,97.65,1.84,EURO
Lebanon,559473,7900,536805,14768,1104,3,182,95.95,1.41,EMRO
Lesotho,12908,374,6649,5885,21,11,0,51.51,2.9,AFRO
Liberia,5396,148,2715,2533,0,0,0,50.32,2.74,AFRO
Libya,246200,3469,189964,52767,2730,16,991,77.16,1.41,EMRO
Liechtenstein,3085,59,3005,21,2,0,2,97.41,1.91,EURO
Lithuania,282039,4413,268947,8679,410,1,113,95.36,1.56,EURO
Luxembourg,73816,822,71744,1250,72,0,113,97.19,1.11,EURO
Madagascar,42645,942,41109,594,30,0,18,96.4,2.21,AFRO
Malawi,51141,1588,37491,12062,760,27,295,73.31,3.11,AFRO
Malaysia,1078646,8725,890742,179179,17170,174,12930,82.58,0.81,WPRO
Maldives,77202,220,74429,2553,108,0,94,96.41,0.28,SEARO
Mali,14566,531,13939,96,3,0,5,95.7,3.65,AFRO
Malta,34090,423,31211,2456,95,0,229,91.55,1.24,EURO
Marshall Islands,4,0,4,0,0,0,0,100.0,0.0,WPRO
Mauritania,25063,553,21985,2525,401,6,205,87.72,2.21,AFRO
Mauritius,3913,19,1854,2040,0,0,0,47.38,0.49,AFRO
Mexico,2810097,239997,2192477,377623,19223,381,11186,78.02,8.54,PAHO
Micronesia,1,0,1,0,0,0,0,100.0,0.0,
Moldova,259202,6253,251850,1099,184,3,109,97.16,2.41,EURO
