Date,Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,WHO region
2020-01-22,India,0,0,0,0,0,0,0,SEARO
2020-01-23,India,0,0,0,0,0,0,0,SEARO
2020-01-24,India,0,0,0,0,0,0,0,SEARO
2020-01-25,India,0,0,0,0,0,0,0,SEARO
2020-01-26,India,0,0,0,0,0,0,0,SEARO
2020-01-27,India,0,0,0,0,0,0,0,SEARO
2020-01-28,India,0,0,0,0,0,0,0,SEARO
2020-01-29,India,0,0,0,0,0,0,0,SEARO
2020-01-30,India,1,0,0,1,1,0,0,SEARO
2020-01-31,India,1,0,0,1,0,0,0,SEARO
2020-02-01,India,1,0,0,1,0,0,0,SEARO
2020-02-02,India,2,0,0,2,1,0,0,SEARO
2020-02-03,India,3,0,0,3,1,0,0,SEARO
2020-02-04,India,3,0,0,3,0,0,0,SEARO
2020-02-05,India,3,0,0,3,0,0,0,SEARO
2020-02-06,India,3,0,0,3,0,0,0,SEARO
2020-02-07,India,3,0,0,3,0,0,0,SEARO
2020-02-08,India,3,0,0,3,0,0,0,SEARO
2020-02-09,India,3,0,0,3,0,0,0,SEARO
2020-02-10,India,3,0,0,3,0,0,0,SEARO
2020-02-11,India,3,0,0,3,0,0,0,SEARO
2020-02-12,India,3,0,0,3,0,0,0,SEARO
2020-02-13,India,3,0,0,3,0,0,0,SEARO
2020-02-14,India,3,0,0,3,0,0,0,SEARO
2020-02-15,India,3,0,0,3,0,0,0,SEARO
2020-02-16,India,3,0,3,0,0,0,3,SEARO
2020-02-17,India,3,0,3,0,0,0,0,SEARO
2020-02-18,India,3,0,3,0,0,0,0,SEARO
2020-02-19,India,3,0,3,0,0,0,0,SEARO
2020-02-20,India,3,0,3,0,0,0,0,SEARO
2020-02-21,India,3,0,3,0,0,0,0,SEARO
2020-02-22,India,3,0,3,0,0,0,0,SEARO
2020-02-23,India,3,0,3,0,0,0,0,SEARO
2020-02-24,India,3,0,3,0,0,0,0,SEARO
2020-02-25,India,3,0,3,0,0,0,0,SEARO
2020-02-26,India,3,0,3,0,0,0,0,SEARO
2020-02-27,India,3,0,3,0,0,0,0,SEARO
2020-02-28,India,3,0,3,0,0,0,0,SEARO
2020-02-29,India,3,0,3,0,0,0,0,SEARO
2020-03-01,India,3,0,3,0,0,0,0,SEARO
2020-03-02,India,5,0,3,2,2,0,0,SEARO
2020-03-03,India,5,0,3,2,0,0,0,SEARO
2020-03-04,India,28,0,3,25,23,0,0,SEARO
2020-03-05,India,30,0,3,27,2,0,0,SEARO
2020-03-06,India,31,0,3,28,1,0,0,SEARO
2020-03-07,India,34,0,3,31,3,0,0,SEARO
2020-03-08,India,39,0,3,36,5,0,0,SEARO
2020-03-09,India,43,0,3,40,4,0,0,SEARO
2020-03-10,India,56,0,4,52,13,0,1,SEARO
2020-03-11,India,62,1,4,57,6,1,0,SEARO
2020-03-12,India,73,1,4,68,11,0,0,SEARO
2020-03-13,India,82,2,4,76,9,1,0,SEARO
2020-03-14,India,102,2,4,96,20,0,0,SEARO
2020-03-15,India,113,2,13,98,11,0,9,SEARO
2020-03-16,India,119,2,13,104,6,0,0,SEARO
2020-03-17,India,142,3,14,125,23,1,1,SEARO
2020-03-18,India,156,3,14,139,14,0,0,SEARO
2020-03-19,India,194,4,15,175,38,1,1,SEARO
2020-03-20,India,244,5,20,219,50,1,5,SEARO
2020-03-21,India,330,4,23,303,86,-1,3,SEARO
2020-03-22,India,396,7,27,362,66,3,4,SEARO
2020-03-23,India,499,10,27,462,103,3,0,SEARO
2020-03-24,India,536,10,40,486,37,0,13,SEARO
2020-03-25,India,657,12,43,602,121,2,3,SEARO
2020-03-26,India,727,20,45,662,70,8,2,SEARO
2020-03-27,India,887,20,73,794,160,0,28,SEARO
2020-03-28,India,987,24,84,879,100,4,11,SEARO
2020-03-29,India,1024,27,95,902,37,3,11,SEARO
2020-03-30,India,1251,32,102,1117,227,5,7,SEARO
2020-03-31,India,1397,35,123,1239,146,3,21,SEARO
2020-04-01,India,1998,58,148,1792,601,23,25,SEARO
2020-04-02,India,2543,72,191,2280,545,14,43,SEARO
2020-04-03,India,2567,72,192,2303,24,0,1,SEARO
2020-04-04,India,3082,86,229,2767,515,14,37,SEARO
2020-04-05,India,3588,99,229,3260,506,13,0,SEARO
2020-04-06,India,4778,136,375,4267,1190,37,146,SEARO
2020-04-07,India,5311,150,421,4740,533,14,46,SEARO
2020-04-08,India,5916,178,506,5232,605,28,85,SEARO
2020-04-09,India,6725,226,620,5879,809,48,114,SEARO
2020-04-10,India,7598,246,774,6578,873,20,154,SEARO
2020-04-11,India,8446,288,969,7189,848,42,195,SEARO
2020-04-12,India,9205,331,1080,7794,759,43,111,SEARO
2020-04-13,India,10453,358,1181,8914,1248,27,101,SEARO
2020-04-14,India,11487,393,1359,9735,1034,35,178,SEARO
2020-04-15,India,12322,405,1432,10485,835,12,73,SEARO
2020-04-16,India,13430,448,1768,11214,1108,43,336,SEARO
2020-04-17,India,14352,486,2041,11825,922,38,273,SEARO
2020-04-18,India,15722,521,2463,12738,1370,35,422,SEARO
2020-04-19,India,17615,559,2854,14202,1893,38,391,SEARO
2020-04-20,India,18539,592,3273,14674,924,33,419,SEARO
2020-04-21,India,20080,645,3975,15460,1541,53,702,SEARO
2020-04-22,India,21370,681,4370,16319,1290,36,395,SEARO
2020-04-23,India,23077,721,5012,17344,1707,40,642,SEARO
2020-04-24,India,24530,780,5498,18252,1453,59,486,SEARO
2020-04-25,India,26283,825,5939,19519,1753,45,441,SEARO
2020-04-26,India,27890,881,6523,20486,1607,56,584,SEARO
2020-04-27,India,29451,939,7137,21375,1561,58,614,SEARO
2020-04-28,India,31324,1008,7747,22569,1873,69,610,SEARO
2020-04-29,India,33062,1079,8437,23546,1738,71,690,SEARO
2020-04-30,India,34863,1154,9068,24641,1801,75,631,SEARO
2020-05-01,India,37257,1223,10007,26027,2394,69,939,SEARO
2020-05-02,India,39699,1323,10819,27557,2442,100,812,SEARO
2020-05-03,India,42505,1391,11775,29339,2806,68,956,SEARO
2020-05-04,India,46437,1566,12847,32024,3932,175,1072,SEARO
2020-05-05,India,49400,1693,14142,33565,2963,127,1295,SEARO
2020-05-06,India,52987,1785,15331,35871,3587,92,1189,SEARO
2020-05-07,India,56351,1889,16776,37686,3364,104,1445,SEARO
2020-05-08,India,59695,1985,17887,39823,3344,96,1111,SEARO
2020-05-09,India,62808,2101,19301,41406,3113,116,1414,SEARO
2020-05-10,India,67161,2212,20969,43980,4353,111,1668,SEARO
2020-05-11,India,70768,2294,22549,45925,3607,82,1580,SEARO
2020-05-12,India,74292,2415,24420,47457,3524,121,1871,SEARO
2020-05-13,India,78055,2551,26400,49104,3763,136,1980,SEARO
2020-05-14,India,81997,2649,27969,51379,3942,98,1569,SEARO
2020-05-15,India,85784,2753,30258,52773,3787,104,2289,SEARO
2020-05-16,India,90648,2871,34224,53553,4864,118,3966,SEARO
2020-05-17,India,95698,3025,36795,55878,5050,154,2571,SEARO
2020-05-18,India,100328,3156,39233,57939,4630,131,2438,SEARO
2020-05-19,India,106475,3302,42309,60864,6147,146,3076,SEARO
2020-05-20,India,112028,3434,45422,63172,5553,132,3113,SEARO
2020-05-21,India,118226,3584,48553,66089,6198,150,3131,SEARO
2020-05-22,India,124794,3726,51824,69244,6568,142,3271,SEARO
2020-05-23,India,131423,3868,54385,73170,6629,142,2561,SEARO
2020-05-24,India,138536,4024,57692,76820,7113,156,3307,SEARO
2020-05-25,India,144950,4172,60706,80072,6414,148,3014,SEARO
2020-05-26,India,150793,4344,64277,82172,5843,172,3571,SEARO
2020-05-27,India,158086,4534,67749,85803,7293,190,3472,SEARO
2020-05-28,India,165386,4711,70920,89755,7300,177,3171,SEARO
2020-05-29,India,173491,4980,82627,85884,8105,269,11707,SEARO
2020-05-30,India,181827,5185,86936,89706,8336,205,4309,SEARO
2020-05-31,India,190609,5408,91852,93349,8782,223,4916,SEARO
2020-06-01,India,198370,5608,95754,97008,7761,200,3902,SEARO
2020-06-02,India,207191,5829,100285,101077,8821,221,4531,SEARO
2020-06-03,India,216824,6088,104071,106665,9633,259,3786,SEARO
2020-06-04,India,226713,6363,108450,111900,9889,275,4379,SEARO
2020-06-05,India,236184,6649,113233,116302,9471,286,4783,SEARO
2020-06-06,India,246622,6946,118695,120981,10438,297,5462,SEARO
2020-06-07,India,257486,7207,123848,126431,10864,261,5153,SEARO
2020-06-08,India,265928,7473,129095,129360,8442,266,5247,SEARO
2020-06-09,India,276146,7750,134670,133726,10218,277,5575,SEARO
2020-06-10,India,286605,8102,135206,143297,10459,352,536,SEARO
2020-06-11,India,297535,8498,147195,141842,10930,396,11989,SEARO
2020-06-12,India,308993,8884,154330,145779,11458,386,7135,SEARO
2020-06-13,India,320922,9195,162379,149348,11929,311,8049,SEARO
