Date,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,557,17,30,510,0,0,0,5.39,3.05,6
2020-01-23,655,18,32,605,98,1,2,4.89,2.75,8
2020-01-24,941,26,39,876,286,8,7,4.14,2.76,9
2020-01-25,1433,42,42,1349,492,16,3,2.93,2.93,11
2020-01-26,2118,56,56,2006,685,14,14,2.64,2.64,13
2020-01-27,2927,82,65,2780,809,26,9,2.22,2.8,16
2020-01-28,5578,131,108,5339,2651,49,43,1.94,2.35,16
2020-01-29,6167,133,126,5908,589,2,18,2.04,2.16,18
2020-01-30,8235,171,143,7921,2068,38,17,1.74,2.08,20
2020-01-31,9927,213,222,9492,1692,42,79,2.24,2.15,23
2020-02-01,12038,259,284,11495,2111,46,62,2.36,2.15,25
2020-02-02,16787,362,463,15962,4749,103,179,2.76,2.16,25
2020-02-03,19887,426,608,18853,3100,64,145,3.06,2.14,25
2020-02-04,23898,492,826,22580,4011,66,218,3.46,2.06,26
2020-02-05,27643,564,1076,26003,3745,72,250,3.89,2.04,26
2020-02-06,30803,634,1423,28746,3160,70,347,4.62,2.06,26
2020-02-07,34335,719,1908,31708,3532,85,485,5.56,2.09,26
2020-02-08,37069,806,2470,33793,2734,87,562,6.66,2.17,26
2020-02-09,40096,906,3058,36132,3027,100,588,7.63,2.26,26
2020-02-10,42634,1013,3715,37906,2538,107,657,8.71,2.38,26
2020-02-11,44676,1113,4418,39145,2042,100,703,9.89,2.49,26
2020-02-12,45054,1118,4850,39086,378,5,432,10.76,2.48,26
2020-02-13,60207,1371,5929,52907,15153,253,1079,9.85,2.28,26
2020-02-14,66691,1523,7612,57556,6484,152,1683,11.41,2.28,27
2020-02-15,68767,1666,8903,58198,2076,143,1291,12.95,2.42,27
2020-02-16,70880,1770,10320,58790,2113,104,1417,14.56,2.5,27
2020-02-17,72816,1868,11951,58997,1936,98,1631,16.41,2.57,27
2020-02-18,74610,2008,13693,58909,1794,140,1742,18.35,2.69,27
2020-02-19,75031,2123,15394,57514,421,115,1701,20.52,2.83,28
2020-02-20,75578,2246,17371,55961,547,123,1977,22.98,2.97,28
2020-02-21,76207,2250,17968,55989,629,4,597,23.58,2.95,30
2020-02-22,77968,2457,21852,53659,1761,207,3884,28.03,3.15,30
2020-02-23,78291,2467,22304,53520,323,10,452,28.49,3.15,31
2020-02-24,78855,2627,24047,52181,564,160,1743,30.5,3.33,36
2020-02-25,79709,2707,26652,50350,854,80,2605,33.44,3.4,41
2020-02-26,80672,2767,29079,48826,963,60,2427,36.05,3.43,47
2020-02-27,82032,2810,31920,47302,1360,43,2841,38.91,3.43,51
2020-02-28,83418,2867,35305,45246,1386,57,3385,42.32,3.44,56
2020-02-29,85309,2936,38313,44060,1891,69,3008,44.91,3.44,61
2020-03-01,87691,2990,41209,43492,2382,54,2896,46.99,3.41,66
2020-03-02,89677,3079,44084,42514,1986,89,2875,49.16,3.43,73
2020-03-03,92272,3154,46680,42438,2595,75,2596,50.59,3.42,76
2020-03-04,94582,3249,49618,41715,2310,95,2938,52.46,3.44,80
2020-03-05,97393,3343,52236,41814,2811,94,2618,53.63,3.43,84
2020-03-06,101308,3455,54268,43585,3915,112,2032,53.57,3.41,93
2020-03-07,105402,3559,56758,45085,4094,104,2490,53.85,3.38,94
2020-03-08,109351,3799,59092,46460,3949,240,2334,54.04,3.47,99
2020-03-09,113524,3989,60891,48644,4173,190,1799,53.64,3.51,102
2020-03-10,118348,4263,62798,51287,4824,274,1907,53.06,3.6,105
2020-03-11,126015,4606,65109,56300,7695,343,2311,51.67,3.66,111
2020-03-12,131810,4913,66431,60466,5795,307,1322,50.4,3.73,113
2020-03-13,146190,5410,68356,72424,14380,497,1925,46.76,3.7,119
2020-03-14,157282,5830,70727,80725,11092,420,2371,44.97,3.71,134
2020-03-15,168557,6473,74138,87946,11275,643,3411,43.98,3.84,138
2020-03-16,183356,7151,76192,100013,14799,678,2054,41.55,3.9,144
2020-03-17,199318,7969,78936,112413,15962,818,2744,39.6,4.0,147
2020-03-18,218898,8882,81423,128593,19580,913,2487,37.2,4.06,151
2020-03-19,245993,9998,83064,152931,27095,1116,1641,33.77,4.06,155
2020-03-20,276879,11486,85509,179884,30886,1488,2445,30.88,4.15,162
2020-03-21,309014,13213,89755,206046,32135,1727,4246,29.05,4.28,164
2020-03-22,344069,14905,95972,233192,35055,1692,6217,27.89,4.33,169
2020-03-23,386840,16856,96440,273544,42771,1951,468,24.93,4.36,170
2020-03-24,427902,19146,105979,302777,41077,2290,9539,24.77,4.47,172
2020-03-25,478940,21969,111423,345548,51038,2823,5444,23.26,4.59,175
2020-03-26,541893,25007,119784,397102,62953,3038,8361,22.1,4.61,175
2020-03-27,606993,28498,128497,449998,65100,3491,8713,21.17,4.69,176
2020-03-28,674213,32269,136797,505147,67220,3771,8300,20.29,4.79,176
2020-03-29,733676,35763,146247,551666,59463,3494,9450,19.93,4.87,176
2020-03-30,798958,39854,161584,597520,65282,4091,15337,20.22,4.99,177
2020-03-31,875799,44618,174048,657133,76841,4764,12464,19.87,5.09,179
2020-04-01,958875,50620,189588,718667,83076,6002,15540,19.77,5.28,179
2020-04-02,1041893,56515,206304,779074,83018,5895,16716,19.8,5.42,180
2020-04-03,1125651,62671,221286,841694,83758,6156,14982,19.66,5.57,180
2020-04-04,1184816,68668,241293,874855,76239,5997,20007,20.37,5.8,180
2020-04-05,1256217,73922,254694,927601,71401,5254,13401,20.27,5.88,181
2020-04-06,1329608,79860,271158,978590,73391,5938,16464,20.39,6.01,182
2020-04-07,1399477,88161,293882,1017434,73360,8301,22724,21.0,6.3,182
2020-04-08,1482870,94999,322400,1065471,83393,6838,28518,21.74,6.41,182
2020-04-09,1569757,102876,346645,1120236,86887,7877,24245,22.08,6.55,182
2020-04-10,1655150,110298,367688,1177164,85393,7422,21043,22.21,6.66,183
2020-04-11,1729464,116572,393203,1219689,74314,6274,25515,22.74,6.74,183
2020-04-12,1849395,122530,412051,1314814,119952,5958,18848,22.28,6.63,183
2020-04-13,1920389,128552,438673,1353164,70994,6022,26622,22.84,6.69,183
2020-04-14,2004664,135634,463273,1405757,84275,7082,24600,23.11,6.77,183
2020-04-15,2082266,144201,499056,1439009,77602,8567,35783,23.97,6.93,183
2020-04-16,2177751,151628,529201,1496922,95485,7427,30145,24.3,6.96,183
2020-04-17,2265865,160155,554537,1551173,88114,8527,25336,24.47,7.07,183
2020-04-18,2343020,166357,577982,1598681,77156,6202,23445,24.67,7.1,183
2020-04-19,2419982,171714,608878,1639390,76962,5357,30896,25.16,7.1,183
2020-04-20,2495532,177758,630359,1687415,75550,6044,21481,25.26,7.12,183
2020-04-21,2571289,185145,664515,1721629,75757,7387,34156,25.84,7.2,183
2020-04-22,2652634,192195,693334,1767105,81345,7050,28819,26.14,7.25,183
2020-04-23,2736958,199206,721755,1815997,86034,7011,28421,26.37,7.28,183
2020-04-24,2821131,206150,771391,1843590,94207,6944,49636,27.34,7.31,183
2020-04-25,2903485,212013,798277,1893195,82354,5863,26886,27.49,7.3,183
2020-04-26,2974830,216268,826216,1932346,71346,4255,27939,27.77,7.27,183
2020-04-27,3045070,221252,852710,1971108,70240,4984,26494,28.0,7.27,183
2020-04-28,3120750,228075,884953,2007722,75680,6823,32243,28.36,7.31,183
2020-04-29,3197930,235035,925934,2036961,78637,6960,40981,28.95,7.35,183
2020-04-30,3281473,241086,989943,2050444,83543,6051,64009,30.17,7.35,185
2020-05-01,3369777,246565,1026754,2096458,88304,5479,36811,30.47,7.32,185
2020-05-02,3448866,252396,1066349,2130121,79256,5831,39595,30.92,7.32,185
2020-05-03,3523845,256245,1097774,2169826,74979,3849,31425,31.15,7.27,185
2020-05-04,3601624,260835,1130745,2210044,77780,4590,32971,31.4,7.24,185
2020-05-05,3682222,266952,1166242,2249028,80598,6117,35497,31.67,7.25,185
2020-05-06,3772383,273832,1211181,2287370,90161,6880,44939,32.11,7.26,185
2020-05-07,3861043,279519,1249626,2331898,90243,5687,38445,32.36,7.24,185
2020-05-08,3951179,285434,1285055,2380690,91616,5915,35429,32.52,7.22,185
2020-05-09,4036358,290037,1337465,2408856,85179,4603,52410,33.14,7.19,185
2020-05-10,4111190,294052,1370421,2446717,74841,4015,32956,33.33,7.15,185
2020-05-11,4187825,297981,1416408,2473436,76692,3929,45987,33.82,7.12,185
2020-05-12,4272337,303884,1452402,2516051,84532,5903,35994,34.0,7.11,185
2020-05-13,4357417,309366,1507152,2540899,85080,5482,54750,34.59,7.1,186
2020-05-14,4453555,314933,1545935,2592687,96139,5567,38783,34.71,7.07,186
2020-05-15,4549358,320573,1593217,2635568,95803,5640,47282,35.02,7.05,186
2020-05-16,4643706,325130,1648703,2669873,94348,4557,55486,35.5,7.0,186
2020-05-17,4721748,328702,1688978,2704068,78042,3572,40275,35.77,6.96,186
2020-05-18,4810876,332859,1741206,2736811,89128,4157,52228,36.19,6.92,186
2020-05-19,4907691,337992,1792440,2777259,97024,5133,51234,36.52,6.89,186
2020-05-20,5009820,343187,1850682,2815951,102129,5195,58242,36.94,6.85,186
2020-05-21,5116462,348269,1900964,2867229,106746,5082,50282,37.15,6.81,186
2020-05-22,5222835,353951,2008633,2860251,106373,5682,107669,38.46,6.78,186
2020-05-23,5327432,358257,2062757,2906418,104597,4306,54124,38.72,6.72,186
2020-05-24,5421624,361734,2117597,2942293,94631,3477,54840,39.06,6.67,186
2020-05-25,5508265,363351,2180653,2964261,87013,1617,63056,39.59,6.6,186
2020-05-26,5602079,368015,2235104,2998960,93814,4664,54451,39.9,6.57,186
2020-05-27,5704822,373410,2297533,3033879,102743,5395,62429,40.27,6.55,186
2020-05-28,5823955,378421,2363672,3081862,119133,5011,66139,40.59,6.5,186
2020-05-29,5944765,383576,2439991,3121198,120810,5155,76319,41.04,6.45,186
2020-05-30,6081258,387961,2509823,3183474,136493,4385,69832,41.27,6.38,186
2020-05-31,6187547,391120,2585507,3210920,106289,3159,75684,41.79,6.32,186
2020-06-01,6283553,394625,2639548,3249380,96006,3505,54041,42.01,6.28,186
